34200.297,5,182383,600,177790,-1
34200.297,5,182384,263,177790,-1
34200.371,5,190427,450,177750,-1
34200.371,5,190464,137,177760,-1
34200.371,4,182382,257,177800,-1
34200.452,4,182382,679,177800,-1
34200.554,4,182382,636,177800,-1
34202.241,1,191409,74,176800,1
34202.524,1,191603,35,177300,-1
34204.509,1,192565,500,176500,1
34205.481,2,192565,500,176500,1
34205.537,1,193016,400,176810,1
34212.005,2,193016,400,176810,1
34217.558,4,191603,35,177300,-1
34217.583,1,199458,800,177790,-1
34218.194,2,199458,800,177790,-1
34219.318,1,200256,1000,176810,1
34220.302,1,200734,700,177790,-1
34220.648,2,200734,700,177790,-1
34220.88,1,200961,700,177790,-1
34226.207,2,200256,1000,176810,1
34227.708,2,200961,700,177790,-1
34228.254,1,203676,700,176810,1
34228.38,2,203676,700,176810,1
34228.396,1,203742,600,176810,1
34228.942,1,204007,700,177790,-1
34229.512,5,204315,200,177390,-1
34229.567,2,204007,700,177790,-1
34231.239,2,203742,600,176810,1
34231.482,4,182382,1000,177800,-1
34231.505,1,205268,600,176810,1
34232.02,2,205268,600,176810,1
34232.091,4,182382,1000,177800,-1
34232.224,1,205585,600,176810,1
34232.583,1,205705,500,177100,1
34232.599,2,205585,600,176810,1
34232.666,5,205736,200,177680,-1
34234.506,4,182382,368,177800,-1
34234.513,4,182382,54,177800,-1
34235.239,1,206861,400,177110,1
34240.29,1,208843,400,177000,1
34240.293,1,208845,1000,177000,1
34240.973,2,206861,400,177110,1
34240.989,1,209092,300,177110,1
34247.138,1,211727,200,164700,1
34253.198,5,208757,50,177950,-1
34253.198,4,173101,9,178000,-1
34254.517,2,205705,500,177100,1
34263.196,2,191409,74,176800,1
34263.504,1,220339,74,177700,1
34265.604,2,220339,74,177700,1
34265.872,1,221757,74,177800,1
34279.586,5,223000,200,177820,1
34279.586,4,221757,74,177800,1
34281.207,1,228943,400,177990,-1
34281.473,2,228943,400,177990,-1
34281.84,1,229236,500,178700,-1
34282.351,2,229236,500,178700,-1
34283.105,1,229756,500,178700,-1
34283.196,1,229802,2000,178000,-1
34283.298,2,229756,500,178700,-1
34283.308,1,229858,500,178000,-1
34283.426,2,229858,500,178000,-1
34296.514,2,208843,400,177000,1
34296.516,2,208845,1000,177000,1
34297.269,1,235910,1000,177990,-1
34297.538,2,235910,1000,177990,-1
34297.567,1,236038,400,177990,-1
34298.988,1,236611,500,178000,-1
34299.083,2,209092,300,177110,1
34299.132,1,236674,1000,176510,1
34300.762,1,237431,100,177600,1
34302.798,4,237431,100,177600,1
34303.125,2,236611,500,178000,-1
34303.836,5,236671,200,177450,1
34305.316,2,236674,1000,176510,1
34305.347,1,239551,900,176510,1
34312.602,1,242791,100,177100,1
34314.595,2,242791,100,177100,1
34318.679,5,242896,250,177250,1
34320.847,5,240615,200,177450,-1
34320.847,5,245227,250,177450,-1
34320.847,5,246067,50,177490,-1
34325.059,1,248453,1000,175000,1
34325.682,1,248772,500,176600,1
34325.708,2,239551,900,176510,1
34325.738,1,248803,1000,176610,1
34331.624,1,252087,200,179200,-1
34331.625,1,252088,300,176400,1
34332.557,2,248772,500,176600,1
34332.645,5,252460,100,177690,-1
34332.758,5,252728,200,177590,-1
34333.065,2,236038,400,177990,-1
34333.098,1,252910,300,177990,-1
34338.086,1,255470,1000,177700,1
34339.755,1,256493,77,163900,1
34341.33,2,252910,300,177990,-1
34341.469,5,257183,500,177750,1
34341.469,4,255470,535,177700,1
34341.644,1,257366,500,177990,-1
34341.753,2,257366,500,177990,-1
34342.019,4,255470,465,177700,1
34343.362,1,258143,500,177990,-1
34343.837,1,258355,100,177900,-1
34344.627,2,258143,500,177990,-1
34345.785,2,258355,100,177900,-1
34345.815,1,259453,400,177990,-1
34345.987,2,259453,400,177990,-1
34346.174,1,259570,400,177990,-1
34346.814,2,259570,400,177990,-1
34348.661,1,260728,1500,177700,1
34379.535,4,173101,1,178000,-1
34379.535,4,229802,199,178000,-1
34384.359,4,229802,1800,178000,-1
34384.658,1,279175,500,178700,-1
34385.138,2,279175,500,178700,-1
34385.765,1,279977,500,178700,-1
34386.175,2,248803,1000,176610,1
34386.207,1,280285,400,177710,1
34386.411,4,229802,1,178000,-1
34386.441,1,280436,1000,178690,-1
34389.151,2,279977,500,178700,-1
34392.663,1,284085,500,178700,-1
34402.285,1,289326,500,177800,1
34402.314,2,280285,400,177710,1
34402.347,1,289377,1000,177810,1
34410.425,2,284085,500,178700,-1
34411.627,2,280436,1000,178690,-1
34411.659,1,294903,900,178690,-1
34412.064,2,289377,1000,177810,1
34412.095,1,295126,700,177810,1
34413.972,2,295126,700,177810,1
34414.002,1,295993,600,177810,1
34414.048,2,295993,600,177810,1
34414.314,1,296115,700,177810,1
34414.673,2,296115,700,177810,1
34414.704,1,296310,600,177810,1
34414.752,2,296310,600,177810,1
34414.991,2,289326,500,177800,1
34416.924,1,297362,1000,177710,1
34418.345,2,294903,900,178690,-1
34418.378,1,298184,800,178690,-1
34422.363,1,300327,500,177800,1
34422.391,2,297362,1000,177710,1
34422.424,1,300366,1000,177810,1
34426.516,2,298184,800,178690,-1
34426.552,1,303250,1000,178690,-1
34426.927,2,303250,1000,178690,-1
34426.955,1,303564,800,178690,-1
34427.486,2,303564,800,178690,-1
34427.517,1,303896,700,178690,-1
34431.219,2,300366,1000,177810,1
34431.252,1,306292,800,177810,1
34440.508,1,312244,200,177200,1
34440.602,2,252087,200,179200,-1
34440.605,2,252088,300,176400,1
34446.06,1,315705,90,178100,1
34446.436,2,300327,500,177800,1
34447.412,1,316898,200,179600,-1
34447.413,1,316901,300,176900,1
34448.844,2,306292,800,177810,1
34453.781,2,303896,700,178690,-1
34453.938,1,321069,1000,178690,-1
34454.08,2,321069,1000,178690,-1
34454.111,1,321181,800,178690,-1
34458.814,2,321181,800,178690,-1
34458.845,1,323779,700,178690,-1
34458.973,2,323779,700,178690,-1
34459.058,1,323887,400,178300,1
34460.244,1,324512,305,163900,1
34460.668,2,323887,400,178300,1
34460.703,1,324829,1000,178110,1
34460.735,2,324829,1000,178110,1
34460.766,1,324876,300,178110,1
34461.593,2,324876,300,178110,1
34461.672,1,325497,900,178110,1
34461.781,2,325497,900,178110,1
34461.817,1,325571,400,178110,1
34463.487,1,326471,500,178300,1
34463.536,1,326501,60,178500,-1
34466.0,2,325571,400,178110,1
34483.575,4,326501,60,178500,-1
34483.575,1,339027,340,178500,1
34484.593,2,339027,340,178500,1
34493.827,4,38008,100,178700,-1
34494.312,1,345134,1000,178310,1
34498.099,4,38008,700,178700,-1
34500.583,2,312244,200,177200,1
34501.076,4,38008,144,178700,-1
34502.153,4,38008,156,178700,-1
34502.187,1,350735,1000,179590,-1
34502.421,2,315705,90,178100,1
34503.906,1,352083,90,178600,1
34506.403,1,353595,500,178400,1
34508.906,2,345134,1000,178310,1
34511.609,1,357079,1000,178610,1
34511.666,2,353595,500,178400,1
34511.674,1,357146,500,178600,1
34511.724,2,316898,200,179600,-1
34511.739,1,357203,300,180300,-1
34512.093,2,357079,1000,178610,1
34512.657,5,354759,53,179080,-1
34515.563,1,360793,1000,178610,1
34517.845,2,357203,300,180300,-1
34517.857,1,363065,300,181300,-1
34517.967,2,360793,1000,178610,1
34518.001,1,363194,700,178610,1
34519.312,2,363194,700,178610,1
34519.327,1,364497,400,178610,1
34519.593,2,350735,1000,179590,-1
34519.608,1,364780,1000,179990,-1
34520.685,1,365669,88,179400,1
34520.719,4,365669,88,179400,1
34521.741,5,365852,200,179250,-1
34522.434,2,357146,500,178600,1
34522.718,1,367222,100,179700,-1
34522.749,2,364780,1000,179990,-1
34522.769,1,367271,1000,179690,-1
34526.152,2,141923,500,180000,-1
34528.788,1,372123,5000,179300,-1
34529.659,5,368172,200,179200,-1
34529.685,1,372995,14,179200,1
34530.745,5,373882,500,179280,-1
34530.745,4,372123,1344,179300,-1
34530.841,4,372123,800,179300,-1
34532.542,2,316901,300,176900,1
34532.552,1,376090,300,178500,1
34532.853,2,372995,14,179200,1
